Aem epsI3 epsA omega0 a0 chi res
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 1.00000e+01 8.59000e+01 1.90697e-14
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 1.00000e+01 8.59000e+01 3.17656e-14
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 1.00000e+01 8.59000e+01 5.30355e-14
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 1.00000e+01 8.59000e+01 8.92130e-14
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 1.10000e+01 8.59000e+01 3.32707e-16
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 1.10000e+01 8.59000e+01 3.42514e-16
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 1.10000e+01 8.59000e+01 3.58137e-16
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 1.10000e+01 8.59000e+01 3.83182e-16
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 1.10000e+01 8.59000e+01 4.23425e-16
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 1.10000e+01 8.59000e+01 4.87001e-16
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 1.10000e+01 8.59000e+01 5.92951e-16
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 1.10000e+01 8.59000e+01 7.61712e-16
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 1.10000e+01 8.59000e+01 1.02698e-15
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 1.10000e+01 8.59000e+01 1.48885e-15
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 1.10000e+01 8.59000e+01 2.18732e-15
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 1.10000e+01 8.59000e+01 3.39757e-15
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 1.10000e+01 8.59000e+01 5.34638e-15
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 1.10000e+01 8.59000e+01 8.50448e-15
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 1.10000e+01 8.59000e+01 1.37371e-14
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 1.10000e+01 8.59000e+01 2.23262e-14
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 1.10000e+01 8.59000e+01 3.65944e-14
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 1.10000e+01 8.59000e+01 6.03869e-14
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 1.10000e+01 8.59000e+01 1.00277e-13
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 1.10000e+01 8.59000e+01 1.67810e-13
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 1.20000e+01 8.59000e+01 6.44314e-16
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 1.20000e+01 8.59000e+01 6.62558e-16
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 1.20000e+01 8.59000e+01 6.91612e-16
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 1.20000e+01 8.59000e+01 7.38069e-16
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 1.20000e+01 8.59000e+01 8.12678e-16
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 1.20000e+01 8.59000e+01 9.32756e-16
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 1.20000e+01 8.59000e+01 1.13617e-15
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 1.20000e+01 8.59000e+01 1.43132e-15
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 1.20000e+01 8.59000e+01 1.95169e-15
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 1.20000e+01 8.59000e+01 2.78398e-15
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 1.20000e+01 8.59000e+01 4.10411e-15
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 1.20000e+01 8.59000e+01 6.27587e-15
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 1.20000e+01 8.59000e+01 9.81415e-15
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 1.20000e+01 8.59000e+01 1.56281e-14
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 1.20000e+01 8.59000e+01 2.52129e-14
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 1.20000e+01 8.59000e+01 4.09824e-14
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 1.20000e+01 8.59000e+01 6.67979e-14
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 1.20000e+01 8.59000e+01 1.09867e-13
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 1.20000e+01 8.59000e+01 1.81593e-13
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 1.20000e+01 8.59000e+01 3.02177e-13
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 1.30000e+01 8.59000e+01 1.18426e-15
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 1.30000e+01 8.59000e+01 1.21671e-15
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 1.30000e+01 8.59000e+01 1.26826e-15
